Failure_ID	ID	BreakDate	BreakYear	SourceTxt_ID	Material	InstallYear	Age	RR_Diameter	Length(ft)	OrgDiameter	OrgMaterial	OrgInstallYear	Status	BreakAge
4739	52141	00:00.0	2010	11275	CI	1904	121	6	202.39	6	CI	1904	1	106
5182	52250	00:00.0	2007	11560	CI	1888	137	4	375.89	4	CI	1888	1	119
4470	52283	00:00.0	2021	11632	CI	1893	132	20	115.12	20	CI	1893	1	128
4001	52340	00:00.0	2014	11714	CI	1874	151	4	226.19	4	CI	1874	1	140
4886	52395	NULL	NULL	11822	CI	1875	150	16	222.18	16	CI	1875	1	NULL
4173	52427	00:00.0	2018	11904	CI	1926	99	6	749.46	6	CI	1926	1	92
4031	52445	00:00.0	2014	11932	CI	1923	102	6	402.35	6	DI	1923	1	91
4279	52495	00:00.0	2016	12049	CI	1875	150	6	21.43	6	DI	1875	0	141
4460	52597	00:00.0	2021	12160	CI	1902	123	6	729.54	6	CI	1902	1	119
4568	52599	00:00.0	2022	12162	CI	1902	123	6	315.98	6	CI	1902	1	120
4741	52605	00:00.0	2010	12168	CI	1901	124	6	496.39	6	CI	1901	1	109
4885	52619	00:00.0	2005	12194	CI	1896	129	6	787.61	6	CI	1896	1	109
4040	52619	00:00.0	2014	12194	CI	1896	129	6	787.61	6	CI	1896	1	118
4083	52627	00:00.0	2014	12208	CI	1900	125	6	369.26	6	CI	1900	1	114
5021	52767	00:00.0	2013	12504	CI	1946	79	6	497.7	6	CI	1946	1	67
4028	52771	00:00.0	2014	12508	CI	1946	79	6	797.1	6	CI	1946	1	68
4683	52777	00:00.0	2011	12516	CI	1949	76	6	306.76	6	CI	1949	1	62
4869	52778	00:00.0	2005	12517	CI	1951	74	4	414.17	4	CI	1951	1	54
5115	52780	00:00.0	2007	12519	CI	1951	74	6	333.06	6	CI	1951	1	56
4810	52787	00:00.0	2009	12528	CI	1951	74	6	456.86	6	CI	1951	1	58
4333	52806	00:00.0	2019	12560	CI	1925	100	6	712.04	6	CI	1925	1	94
4630	52859	00:00.0	2012	12655	CI	1926	99	6	618.71	6	CI	1926	1	86
5187	52864	00:00.0	2007	12660	CI	1926	99	6	171.03	6	CI	1926	1	81
4068	52898	00:00.0	2014	12704	CI	1952	73	6	165.02	6	CI	1952	1	62
4182	52916	00:00.0	2018	12731	CI	1945	80	6	671.26	6	CI	1945	1	73
4017	52916	00:00.0	2014	12731	CI	1945	80	6	671.26	6	CI	1945	1	69
4953	52916	00:00.0	2013	12731	CI	1945	80	6	671.26	6	CI	1945	1	68
5130	52916	00:00.0	2007	12731	CI	1945	80	6	671.26	6	CI	1945	1	62
4329	52923	NULL	NULL	12741	CI	1899	126	12	353.3	12	CI	1899	1	NULL
4223	52936	00:00.0	2019	12822	CI	1950	75	6	265.01	6	CI	1950	1	69
4224	52938	00:00.0	2019	12824	CI	1950	75	6	293.43	6	CI	1950	1	69
4867	52940	00:00.0	2005	12827	CI	1951	74	6	596.46	6	CI	1951	1	54
4674	52940	00:00.0	2011	12827	CI	1951	74	6	596.46	6	CI	1951	1	60
4463	52950	00:00.0	2021	12862	CI	1924	101	6	492.1	6	CI	1924	1	97
5167	52977	00:00.0	2007	12911	CI	1928	97	6	185.43	6	CI	1928	1	79
4276	52986	00:00.0	2016	12922	CI	1950	75	6	341.27	6	CI	1950	1	66
4027	52994	00:00.0	2014	12937	CI	1955	70	6	489.37	6	CI	1955	1	59
4078	52995	00:00.0	2014	12938	CI	1955	70	6	197.47	6	DI	1955	1	59
5082	53011	00:00.0	2008	12968	CI	1943	82	6	24.7	6	CI	1943	1	65
4621	53021	00:00.0	2012	12979	CI	1952	73	6	241.4	6	CI	1952	1	60
4138	53030	00:00.0	2017	12992	CI	1951	74	6	24.06	6	CI	1951	1	66
4045	53058	00:00.0	2014	13026	CI	1920	105	10	225.82	10	CI	1920	1	94
4444	53076	00:00.0	2021	13045	CI	1923	102	4	317.61	4	CI	1923	1	98
4386	53085	00:00.0	2020	13647	CI	1949	76	6	360.09	6	CI	1949	1	71
4388	53089	00:00.0	2020	13654	CI	1906	119	6	549.52	6	CI	1906	1	114
4437	53089	00:00.0	2021	13654	CI	1906	119	6	549.52	6	CI	1906	1	115
4629	53133	00:00.0	2012	13992	CI	1928	97	6	156.94	6	DI	1928	1	84
4112	53169	00:00.0	2014	15590	CI	1952	73	6	582.7	6	CI	1952	1	62
4805	53180	00:00.0	2009	15604	CI	1926	99	6	513.04	6	CI	1926	1	83
4520	53234	00:00.0	2022	16380	CI	1941	84	6	470.27	6	CI	1941	1	81
4178	53234	00:00.0	2018	16380	CI	1941	84	6	470.27	6	CI	1941	1	77
4222	53234	00:00.0	2019	16380	CI	1941	84	6	470.27	6	CI	1941	1	78
4677	53239	00:00.0	2011	16388	CI	1947	78	6	240	6	CI	1947	1	64
4327	53244	00:00.0	2019	16529	CI	1943	82	6	514.2	6	CI	1943	1	76
4566	53258	00:00.0	2022	16544	CI	1948	77	6	302.26	6	CI	1948	1	74
5034	53259	00:00.0	2013	16545	CI	1950	75	6	277.56	6	CI	1950	1	63
4672	53261	00:00.0	2011	16547	CI	1950	75	6	432.8	6	CI	1950	1	61
4561	53264	00:00.0	2022	16550	CI	1949	76	6	524.17	6	DI	1949	1	73
4207	53264	00:00.0	2018	16550	CI	1949	76	6	524.17	6	DI	1949	1	69
4071	53264	00:00.0	2014	16550	CI	1949	76	6	524.17	6	DI	1949	1	65
3958	53264	00:00.0	2015	16550	CI	1949	76	6	524.17	6	DI	1949	1	66
4676	53381	00:00.0	2011	13209	CI	1920	105	6	615.77	6	CI	1920	1	91
4954	53395	00:00.0	2013	13230	CI	1916	109	6	66.62	6	CI	1916	1	97
4723	53541	00:00.0	2010	13449	CI	1922	103	8	425.89	8	CI	1922	1	88
4492	53562	00:00.0	2022	1021767	CI	1930	95	6	18.25	6	DI	1930	0	92
4613	53786	00:00.0	2012	1021460	CI	1920	105	4	130.37	4	CI	1920	1	92
4075	53791	00:00.0	2014	1021465	CI	1920	105	4	149.51	4	CI	1920	1	94
4584	53871	00:00.0	2023	1021566	CI	1900	125	6	364.77	6	CI	1900	1	123
4505	53919	00:00.0	2022	1021632	DI	1973	52	6	70.12	6	CI	1973	1	49
4640	53922	00:00.0	2012	1021636	DI	1973	52	6	376.31	6	DI	1973	1	39
4911	53922	00:00.0	2005	1021636	DI	1973	52	6	376.31	6	DI	1973	1	32
4464	53922	00:00.0	2021	1021636	DI	1973	52	6	376.31	6	DI	1973	1	48
4717	53996	00:00.0	2010	1021925	DI	1980	45	8	73.39	8	DI	1980	1	30
4658	54050	00:00.0	2011	1021850	CI	1900	125	12	378.11	12	DI	1900	1	111
5143	54128	00:00.0	2007	1022111	CI	1956	69	6	112.55	6	CI	1956	1	51
4821	54156	00:00.0	2009	1022188	CI	1921	104	8	558.85	8	CI	1921	1	88
4062	54159	00:00.0	2014	1022192	CI	1921	104	8	430.93	8	CI	1921	1	93
4164	54159	00:00.0	2018	1022192	CI	1921	104	8	430.93	8	CI	1921	1	97
4292	54164	00:00.0	2016	1022328	DI	1986	39	6	37.23	6	DI	1986	1	30
4268	54410	00:00.0	2015	1022311	CI	1926	99	6	35.61	6	CI	1926	1	89
4170	54437	00:00.0	2018	1025699	CI	1951	74	4	502.16	4	CI	1951	1	67
3934	54444	00:00.0	2015	1022579	CI	1952	73	4	387.52	4	CI	1952	1	63
4335	54444	00:00.0	2019	1022579	CI	1952	73	4	387.52	4	CI	1952	1	67
